Rank,Name,Industry,Revenue_USD_billions,Employees_count,Headquarters,City,State
1,Cargill,Food industry,177.0,"160,000","Minnetonka, Minnesota",Minnetonka, Minnesota
2,Koch Industries,Conglomerate,125.0,"120,000","Wichita, Kansas",Wichita, Kansas
3,Publix Super Markets,Retail,54.5,"250,000","Lakeland, Florida",Lakeland, Florida
4,"Mars, Incorporated",Food industry,47.0,"140,000","McLean, Virginia",McLean, Virginia
5,H-E-B,Retail,43.6,"145,000","San Antonio, Texas",San Antonio, Texas
6,Reyes Holdings,Wholesaling,40.0,"36,000","Rosemont, Illinois",Rosemont, Illinois
7,Enterprise Holdings,Car rental,35.0,"90,000","Clayton, Missouri",Clayton, Missouri
8,C&S Wholesale Grocers,Wholesaling,34.7,"15,000","Keene, New Hampshire",Keene, New Hampshire
9,Love's,Petroleum industry and Retail,26.5,"40,000","Oklahoma City, Oklahoma",Oklahoma City, Oklahoma
10,Southern Glazer's Wine and Spirits,Food industry,26.0,"24,000","Miramar, Florida",Miramar, Florida
